

=============================================================
11:11:51 1.5.9.0> Abrindo Tela de Login
11:12:02 1.5.9.0> Login realizado como: teste


=============================================================
11:12:13 1.5.9.0> Current Device Count: 1
11:12:15 1.5.9.0>  1000
 Image Flat Width: 1000
 Image Flat Height: 1000
 Image Roll Width: 800
 Image Roll Height: 750
 Brightness: 40, Contrast: 20, Gain: 2

11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:20 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:21 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
11:35:22 1.5.9.0> Device Error: Sucesso
